/,,,,,개발자 전달용 피그마 : https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2104-23870&t=MlhrLKl52ZbixSEe-1,,,,
프로젝트 명,픽랩,,,,,,,,
작성자,이다은,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,사전 조건 (Precondition),디스플레이,재현 경로 ,재현 결과 (이미지),기대 결과,발생 빈도,반영작업 여부,비고
,,비로그인,WEB,메인화면,,"회원가입 버튼 클릭 시, 간편회원가입 화면으로 이동

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-72980&t=NKYRlJ0nguLkzXJf-1",100,미반영,
,,비로그인,WEB,메인화면  > 공고상세,,"돋보기 버튼 클릭시 이미지 2배수하여 팝업으로 노출
딤드처리된 부분 클릭시 공고상세 화면로 돌아가게 수정

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2510-23083&t=NKYRlJ0nguLkzXJf-1",100,미반영,
,,비로그인,WEB,메인화면  > 공고상세,,"직무경험, 활동강도, 혜택및복지 의 너비값을 80px로 수정하여 노출",100,미반영,
,,비로그인,WEB,메인화면  > 공고상세 > 리뷰,,"그래프 디자인 디자인됨과 동일하게 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2409-26932&t=NKYRlJ0nguLkzXJf-1",100,미반영,
,,로그인,WEB,메인화면,,"하단에 있는 '인기 대외활동' 의 슬라이드 인터랙션과 동일하게 수정하여 노출

[수정이 필요한 섹션]
- 00직무를 위한 추천 활동
- 최근에 본 활동
",100,미반영,
,,로그인,WEB,메인화면,,연필 아이콘의 위치를 다른 아이콘과 맞추어 노출,100,미반영,
,,로그인,WEB,메인화면,,"캘린더 아이콘 클릭 시 링크의 화면으로 이동되게 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2527-24643&t=ANKwkX6tmmg9Ht6C-1",100,미반영,
,,로그인,WEB,메인화면 > 일정관리,,"캘린더형' 클릭 시, 아래 링크의 화면으로 이동되게 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2531-25140&t=ANKwkX6tmmg9Ht6C-1 

*꼭 읽어주세요! 일정관리 화면의 ux문서입니다*
링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2-25064&t=Z8mwHd3kuDpoc66F-1 ",100,미반영,
,,로그인,WEB,메인화면 > 일정관리,,"드롭다운 옵션명

1. 전체
1.1 진행중
1.2 마감

2. 지원여부
2.1 미지원
2.2 지원완료",100,미반영,
,,로그인,WEB,메인화면 > 일정관리_캘린더형,,"캘린더의 날짜를 클릭 시, 링크의 화면처럼 표시되어 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=2532-25408&t=ANKwkX6tmmg9Ht6C-1 ",100,미반영,
,,로그인,WEB,메인화면 > 일정관리 > 활동결과,,"활동결과 탭메뉴 클릭 시, 링크의 화면으로 이동되게 노출

링크: https://www.figma.com/design/7PEqXV7XjAN2R6l1nnbAI9/PICKLAB_%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%A0%84%EB%8B%AC?node-id=1136-76521&t=ANKwkX6tmmg9Ht6C-1 ",100,미반영,
